#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
3.55549e+20	6.9581e+03	2.162e-22	1.0000e+01	1.0863e+01	2.7988e-19	8.8244e-05	9.9991e-01	3.6968e-03	9.9630e-01	5.5981e-18	1.6361e-24	9.1787e-07	5.1186e-02	9.4881e-01	7.5340e-06	4.6508e-05	8.9481e-01	1.0514e-01	1.1755e-36	1.1755e-36	1.1755e-36	1.3337e-34	0.00e+00	0.00e+00	1.7154e+00
3.65724e+20	7.0380e+03	2.153e-22	1.0000e+01	1.0862e+01	2.7764e-19	9.0214e-05	9.9991e-01	4.6027e-03	9.9540e-01	3.3611e-18	2.0618e-24	1.0715e-06	5.9273e-02	9.4072e-01	4.4324e-06	4.9897e-05	9.3734e-01	6.2608e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.4848e-34	0.00e+00	0.00e+00	1.7724e+00
3.73783e+20	7.0937e+03	2.151e-22	1.0000e+01	1.0861e+01	2.7921e-19	9.1852e-05	9.9991e-01	5.7482e-03	9.9425e-01	2.0049e-18	2.5042e-24	1.2377e-06	6.7969e-02	9.3203e-01	2.8814e-06	5.2158e-05	9.6130e-01	3.8651e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.6157e-34	0.00e+00	0.00e+00	1.8079e+00
3.78687e+20	7.1048e+03	2.154e-22	1.0000e+01	1.0859e+01	2.8179e-19	9.3098e-05	9.9991e-01	6.7968e-03	9.9320e-01	1.5928e-18	2.8405e-24	1.3681e-06	7.4887e-02	9.2511e-01	2.1860e-06	5.3461e-05	9.7196e-01	2.7990e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.6582e-34	0.00e+00	0.00e+00	1.8295e+00
3.82047e+20	7.1070e+03	2.158e-22	1.0000e+01	1.0858e+01	2.8698e-19	9.4069e-05	9.9991e-01	7.7565e-03	9.9224e-01	1.3869e-18	3.1227e-24	1.4750e-06	8.0458e-02	9.1954e-01	1.7846e-06	5.4338e-05	9.7775e-01	2.2194e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.7117e-34	0.00e+00	0.00e+00	1.8476e+00
3.85535e+20	7.1047e+03	2.164e-22	1.0000e+01	1.0857e+01	2.9582e-19	9.5211e-05	9.9990e-01	9.0576e-03	9.9094e-01	1.1806e-18	3.4739e-24	1.6043e-06	8.7068e-02	9.1293e-01	1.4176e-06	5.5265e-05	9.8267e-01	1.7276e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.7940e-34	0.00e+00	0.00e+00	1.8713e+00
3.89268e+20	7.0943e+03	2.173e-22	1.0000e+01	1.0856e+01	3.0213e-19	9.6497e-05	9.9990e-01	1.1007e-02	9.8899e-01	8.9646e-19	3.8888e-24	1.7654e-06	9.5320e-02	9.0468e-01	1.1057e-06	5.6228e-05	9.8706e-01	1.2888e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.8223e-34	0.00e+00	0.00e+00	1.8927e+00
3.92260e+20	7.0855e+03	2.180e-22	1.0000e+01	1.0854e+01	3.0684e-19	9.7498e-05	9.9990e-01	1.3308e-02	9.8669e-01	7.2227e-19	4.2820e-24	1.9176e-06	1.0328e-01	8.9671e-01	8.9871e-07	5.6974e-05	9.9004e-01	9.9063e-03	1.1755e-36	1.1755e-36	1.1755e-36	1.8389e-34	0.00e+00	0.00e+00	1.9079e+00
3.94370e+20	7.0718e+03	2.187e-22	1.0000e+01	1.0852e+01	3.1564e-19	9.8314e-05	9.9990e-01	1.5631e-02	9.8437e-01	6.3209e-19	4.6282e-24	2.0448e-06	1.0980e-01	8.9019e-01	7.6770e-07	5.7526e-05	9.9186e-01	8.0776e-03	1.1755e-36	1.1755e-36	1.1755e-36	1.8927e-34	0.00e+00	0.00e+00	1.9188e+00
3.96008e+20	7.0637e+03	2.192e-22	1.0000e+01	1.0850e+01	3.1691e-19	9.8922e-05	9.9990e-01	1.8033e-02	9.8197e-01	5.6905e-19	4.8964e-24	2.1528e-06	1.1539e-01	8.8460e-01	6.7286e-07	5.7944e-05	9.9314e-01	6.8037e-03	1.1755e-36	1.1755e-36	1.1755e-36	1.8762e-34	0.00e+00	0.00e+00	1.9283e+00
